
		=====| REDE NEURAL ARTIFICIAL EVOLUTIVA |=====

	OBJETIVO: Aprendizado da Funcao Logica P E Q.

	Licoes:
	 LICAO    P    Q  (Resultado Esperado)
	+------+----+----+---------------------+
	(1) - 0   0   0
	(2) - 0   1   0
	(3) - 1   0   0
	(4) - 1   1   1


	Learning Rate: 0.20
	Sinapse Threshold: 0.60
	Populacao MAXIMA: 300.
	3 MUTACOES a cada sequencia de 5 GERACOES.
	TOTAL de GERACOES: 10.




	INICIO DO TREINAMENTO: Dia: 8   Mes: 5   Ano: 2024

Dia da Semana: 3.
14:4:7.


	 TABELA DE INDIVIDUOS:
| 	(1) 	| numero = 1 	| endr = 0067FE80 	| err = 0 	| 1 -> 2 	| genes = 0.46,0.45,0.59,0.04,0.88,0.72,	|
| 	(1) 	| numero = 378 	| endr = 0067FE80 	| err = 0 	| 378 -> 393 	| genes = 0.38,0.12,0.25,0.88,0.42,0.30,	|
| 	(1) 	| numero = 393 	| endr = 0067FE80 	| err = 0 	| 393 -> 430 	| genes = 0.48,0.54,0.26,0.07,0.42,0.34,	|
| 	(1) 	| numero = 430 	| endr = 0067FE80 	| err = 0 	| 430 -> 449 	| genes = 0.18,0.32,0.49,0.04,0.60,0.16,	|
| 	(1) 	| numero = 449 	| endr = 0067FE80 	| err = 0 	| 449 -> 490 	| genes = 0.93,0.90,0.54,0.51,0.25,0.58,	|
| 	(1) 	| numero = 490 	| endr = 0067FE80 	| err = 0 	| 490 -> 493 	| genes = 0.24,0.44,0.36,0.91,0.74,0.53,	|
| 	(1) 	| numero = 493 	| endr = 0067FE80 	| err = 0 	| 493 -> 506 	| genes = 0.24,0.44,0.36,0.27,0.84,0.02,	|
| 	(1) 	| numero = 506 	| endr = 0067FE80 	| err = 0 	| 506 -> 509 	| genes = 0.38,0.17,0.56,0.58,0.50,0.50,	|
| 	(1) 	| numero = 509 	| endr = 0067FE80 	| err = 0 	| 509 -> 510 	| genes = 0.38,0.17,0.56,0.66,0.95,0.03,	|
| 	(1) 	| numero = 510 	| endr = 0067FE80 	| err = 0 	| 510 -> 514 	| genes = 0.76,0.36,0.55,0.26,0.28,0.71,	|
| 	(1) 	| numero = 514 	| endr = 0067FE80 	| err = 0 	| 514 -> 517 	| genes = 0.39,0.65,0.30,0.66,0.95,0.03,	|
| 	(1) 	| numero = 517 	| endr = 0067FE80 	| err = 0 	| 517 -> 537 	| genes = 0.39,0.65,0.30,0.87,0.54,0.48,	|
| 	(1) 	| numero = 537 	| endr = 0067FE80 	| err = 0 	| 537 -> 562 	| genes = 0.53,0.82,0.25,0.16,0.51,0.23,	|
| 	(1) 	| numero = 562 	| endr = 0067FE80 	| err = 0 	| 562 -> 566 	| genes = 0.98,0.42,0.20,0.32,0.12,0.97,	|
| 	(1) 	| numero = 566 	| endr = 0067FE80 	| err = 0 	| 566 -> 569 	| genes = 0.08,0.44,0.53,0.03,0.81,0.53,	|
| 	(1) 	| numero = 569 	| endr = 0067FE80 	| err = 0 	| 569 -> 574 	| genes = 0.08,0.44,0.53,0.56,0.79,0.57,	|
| 	(1) 	| numero = 574 	| endr = 0067FE80 	| err = 0 	| 574 -> 577 	| genes = 0.40,0.33,0.46,0.56,0.79,0.57,	|
| 	(1) 	| numero = 577 	| endr = 0067FE80 	| err = 0 	| 577 -> 582 	| genes = 0.40,0.33,0.46,0.69,0.35,0.74,	|
| 	(1) 	| numero = 582 	| endr = 0067FE80 	| err = 0 	| 582 -> 585 	| genes = 0.27,0.15,0.46,0.69,0.35,0.74,	|
| 	(1) 	| numero = 585 	| endr = 0067FE80 	| err = 0 	| 585 -> 597 	| genes = 0.27,0.15,0.46,0.36,0.81,0.86,	|
| 	(1) 	| numero = 597 	| endr = 0067FE80 	| err = 0 	| 597 -> 621 	| genes = 0.26,0.53,0.46,0.59,0.91,0.32,	|
| 	(1) 	| numero = 621 	| endr = 0067FE80 	| err = 0 	| 621 -> 622 	| genes = 0.96,0.26,0.12,0.47,0.19,0.49,	|
| 	(1) 	| numero = 622 	| endr = 0067FE80 	| err = 0 	| 622 -> 630 	| genes = 0.99,0.50,0.08,0.23,0.07,0.70,	|
| 	(1) 	| numero = 630 	| endr = 0067FE80 	| err = 0 	| 630 -> 633 	| genes = 0.35,0.39,0.53,0.10,0.65,0.38,	|
| 	(1) 	| numero = 633 	| endr = 0067FE80 	| err = 0 	| 633 -> 681 	| genes = 0.35,0.39,0.53,0.75,0.15,0.82,	|
| 	(1) 	| numero = 681 	| endr = 0067FE80 	| err = 0 	| 681 -> 690 	| genes = 0.13,0.34,0.56,0.00,0.68,0.15,	|
| 	(1) 	| numero = 690 	| endr = 0067FE80 	| err = 0 	| 690 -> 713 	| genes = 0.29,0.60,0.44,0.83,0.84,0.29,	|
| 	(1) 	| numero = 713 	| endr = 0067FE80 	| err = 0 	| 713 -> 738 	| genes = 0.19,0.93,0.54,0.18,0.40,0.22,	|
| 	(1) 	| numero = 738 	| endr = 0067FE80 	| err = 0 	| 738 -> 741 	| genes = 0.55,0.24,0.08,0.70,0.19,0.43,	|
| 	(1) 	| numero = 741 	| endr = 0067FE80 	| err = 0 	| 741 -> 778 	| genes = 0.55,0.24,0.08,0.81,0.87,1.00,	|
| 	(1) 	| numero = 778 	| endr = 0067FE80 	| err = 0 	| 778 -> 781 	| genes = 0.55,0.04,0.11,0.96,0.44,0.59,	|
| 	(1) 	| numero = 781 	| endr = 0067FE80 	| err = 0 	| 781 -> 830 	| genes = 0.55,0.04,0.11,0.18,0.99,0.73,	|
| 	(1) 	| numero = 830 	| endr = 0067FE80 	| err = 0 	| 830 -> 846 	| genes = 0.71,0.41,0.31,0.49,0.52,0.84,	|
| 	(1) 	| numero = 846 	| endr = 0067FE80 	| err = 0 	| 846 -> 849 	| genes = 0.29,0.35,0.45,0.98,0.59,0.75,	|
| 	(1) 	| numero = 849 	| endr = 0067FE80 	| err = 0 	| 849 -> 3 	| genes = 0.29,0.35,0.45,0.94,0.80,0.03,	|
| 	(1) 	| numero = 3 	| endr = 0067FE80 	| err = 1 	| 3 -> 4 	| genes = 0.43,0.18,0.95,0.91,0.70,1.00,	|
| 	(1) 	| numero = 4 	| endr = 0067FE80 	| err = 1 	| 4 -> 5 	| genes = 0.73,0.49,0.93,0.90,0.19,0.39,	|
| 	(1) 	| numero = 5 	| endr = 0067FE80 	| err = 1 	| 5 -> 6 	| genes = 0.49,0.11,0.02,1.00,0.08,0.79,	|
| 	(1) 	| numero = 6 	| endr = 0067FE80 	| err = 1 	| 6 -> 7 	| genes = 0.87,0.61,0.36,0.57,0.95,0.06,	|
| 	(1) 	| numero = 7 	| endr = 0067FE80 	| err = 1 	| 7 -> 8 	| genes = 0.51,0.24,0.05,0.40,0.94,0.53,	|
| 	(1) 	| numero = 8 	| endr = 0067FE80 	| err = 1 	| 8 -> 11 	| genes = 0.47,0.76,0.65,0.38,0.42,0.79,	|
| 	(1) 	| numero = 11 	| endr = 0067FE80 	| err = 1 	| 11 -> 12 	| genes = 0.06,0.22,0.20,0.41,0.49,0.90,	|
| 	(1) 	| numero = 12 	| endr = 0067FE80 	| err = 1 	| 12 -> 14 	| genes = 0.46,0.36,0.13,0.27,0.17,0.31,	|
| 	(1) 	| numero = 14 	| endr = 0067FE80 	| err = 1 	| 14 -> 15 	| genes = 0.84,0.25,0.28,0.63,0.13,0.33,	|
| 	(1) 	| numero = 15 	| endr = 0067FE80 	| err = 1 	| 15 -> 16 	| genes = 0.25,0.35,0.86,0.29,0.03,0.58,	|
| 	(1) 	| numero = 16 	| endr = 0067FE80 	| err = 1 	| 16 -> 18 	| genes = 0.26,0.68,0.68,0.26,0.96,0.46,	|
| 	(1) 	| numero = 18 	| endr = 0067FE80 	| err = 1 	| 18 -> 19 	| genes = 0.26,0.86,0.27,0.69,0.64,0.48,	|
| 	(1) 	| numero = 19 	| endr = 0067FE80 	| err = 1 	| 19 -> 22 	| genes = 0.61,0.29,0.02,0.10,0.87,0.94,	|
| 	(1) 	| numero = 22 	| endr = 0067FE80 	| err = 1 	| 22 -> 23 	| genes = 0.93,0.56,1.00,0.26,0.59,0.28,	|
| 	(1) 	| numero = 23 	| endr = 0067FE80 	| err = 1 	| 23 -> 25 	| genes = 0.89,0.10,0.31,0.78,0.43,0.03,	|
| 	(1) 	| numero = 25 	| endr = 0067FE80 	| err = 1 	| 25 -> 26 	| genes = 0.48,0.73,0.82,0.07,0.42,0.34,	|
| 	(1) 	| numero = 26 	| endr = 0067FE80 	| err = 1 	| 26 -> 27 	| genes = 0.82,0.22,0.92,0.28,0.40,0.79,	|
| 	(1) 	| numero = 27 	| endr = 0067FE80 	| err = 1 	| 27 -> 28 	| genes = 0.11,0.82,0.95,0.64,0.96,0.09,	|
| 	(1) 	| numero = 28 	| endr = 0067FE80 	| err = 1 	| 28 -> 29 	| genes = 0.32,0.48,0.70,0.90,0.15,0.10,	|
| 	(1) 	| numero = 29 	| endr = 0067FE80 	| err = 1 	| 29 -> 30 	| genes = 1.00,0.34,0.73,0.50,0.43,0.04,	|
| 	(1) 	| numero = 30 	| endr = 0067FE80 	| err = 1 	| 30 -> 31 	| genes = 0.10,0.98,0.20,0.37,0.47,0.61,	|
| 	(1) 	| numero = 31 	| endr = 0067FE80 	| err = 1 	| 31 -> 32 	| genes = 0.06,0.87,0.82,0.33,0.66,0.19,	|
| 	(1) 	| numero = 32 	| endr = 0067FE80 	| err = 1 	| 32 -> 33 	| genes = 0.42,0.12,0.92,0.59,0.53,0.38,	|
| 	(1) 	| numero = 33 	| endr = 0067FE80 	| err = 1 	| 33 -> 35 	| genes = 0.40,0.44,0.75,0.04,0.60,0.16,	|
| 	(1) 	| numero = 35 	| endr = 0067FE80 	| err = 1 	| 35 -> 36 	| genes = 0.51,0.03,0.61,0.07,0.40,0.52,	|
| 	(1) 	| numero = 36 	| endr = 0067FE80 	| err = 1 	| 36 -> 37 	| genes = 0.53,0.72,0.90,0.18,0.88,0.77,	|
| 	(1) 	| numero = 37 	| endr = 0067FE80 	| err = 1 	| 37 -> 38 	| genes = 0.32,0.41,0.63,0.03,0.92,0.59,	|
| 	(1) 	| numero = 38 	| endr = 0067FE80 	| err = 1 	| 38 -> 39 	| genes = 0.93,0.90,0.54,0.83,0.74,0.34,	|
| 	(1) 	| numero = 39 	| endr = 0067FE80 	| err = 1 	| 39 -> 40 	| genes = 0.81,0.24,0.80,0.51,0.25,0.58,	|
| 	(1) 	| numero = 40 	| endr = 0067FE80 	| err = 1 	| 40 -> 41 	| genes = 0.77,0.44,0.62,0.23,0.55,0.37,	|
| 	(1) 	| numero = 41 	| endr = 0067FE80 	| err = 1 	| 41 -> 42 	| genes = 0.09,0.04,0.83,1.00,0.94,0.22,	|
| 	(1) 	| numero = 42 	| endr = 0067FE80 	| err = 1 	| 42 -> 43 	| genes = 0.61,0.09,0.87,0.14,0.01,0.70,	|
| 	(1) 	| numero = 43 	| endr = 0067FE80 	| err = 1 	| 43 -> 44 	| genes = 0.25,0.94,0.34,0.33,0.93,0.37,	|
| 	(1) 	| numero = 44 	| endr = 0067FE80 	| err = 1 	| 44 -> 45 	| genes = 0.94,0.52,0.27,0.06,0.24,0.88,	|
| 	(1) 	| numero = 45 	| endr = 0067FE80 	| err = 1 	| 45 -> 46 	| genes = 0.43,0.84,0.36,0.49,0.21,0.26,	|
| 	(1) 	| numero = 46 	| endr = 0067FE80 	| err = 1 	| 46 -> 47 	| genes = 0.44,0.04,0.25,0.85,0.41,0.14,	|
| 	(1) 	| numero = 47 	| endr = 0067FE80 	| err = 1 	| 47 -> 48 	| genes = 0.80,0.25,0.19,0.62,0.06,0.19,	|
| 	(1) 	| numero = 48 	| endr = 0067FE80 	| err = 1 	| 48 -> 49 	| genes = 0.19,0.80,0.26,0.91,0.74,0.53,	|
| 	(1) 	| numero = 49 	| endr = 0067FE80 	| err = 1 	| 49 -> 50 	| genes = 0.24,0.44,0.36,0.20,0.27,0.24,	|
| 	(1) 	| numero = 50 	| endr = 0067FE80 	| err = 1 	| 50 -> 51 	| genes = 0.76,0.10,0.42,0.27,0.84,0.02,	|
| 	(1) 	| numero = 51 	| endr = 0067FE80 	| err = 1 	| 51 -> 52 	| genes = 0.48,0.52,0.65,0.93,0.97,0.19,	|
| 	(1) 	| numero = 52 	| endr = 0067FE80 	| err = 1 	| 52 -> 53 	| genes = 0.24,0.94,0.12,0.58,0.50,0.50,	|
| 	(1) 	| numero = 53 	| endr = 0067FE80 	| err = 1 	| 53 -> 54 	| genes = 0.38,0.17,0.56,0.26,0.28,0.71,	|
| 	(1) 	| numero = 54 	| endr = 0067FE80 	| err = 1 	| 54 -> 56 	| genes = 0.76,0.36,0.55,0.66,0.95,0.03,	|
| 	(1) 	| numero = 56 	| endr = 0067FE80 	| err = 1 	| 56 -> 57 	| genes = 0.21,0.85,0.35,0.87,0.54,0.48,	|
| 	(1) 	| numero = 57 	| endr = 0067FE80 	| err = 1 	| 57 -> 58 	| genes = 0.13,0.95,0.22,0.80,0.60,0.86,	|
| 	(1) 	| numero = 58 	| endr = 0067FE80 	| err = 1 	| 58 -> 59 	| genes = 1.00,0.22,0.63,0.26,0.29,0.37,	|
| 	(1) 	| numero = 59 	| endr = 0067FE80 	| err = 1 	| 59 -> 62 	| genes = 0.12,0.45,0.62,0.72,0.59,0.64,	|
| 	(1) 	| numero = 62 	| endr = 0067FE80 	| err = 1 	| 62 -> 63 	| genes = 0.61,0.16,0.47,0.31,0.15,0.09,	|
| 	(1) 	| numero = 63 	| endr = 0067FE80 	| err = 1 	| 63 -> 64 	| genes = 0.34,0.77,0.96,0.12,0.33,0.15,	|
| 	(1) 	| numero = 64 	| endr = 0067FE80 	| err = 1 	| 64 -> 65 	| genes = 0.20,0.65,0.19,0.72,0.66,0.21,	|
| 	(1) 	| numero = 65 	| endr = 0067FE80 	| err = 1 	| 65 -> 67 	| genes = 0.48,0.53,0.76,0.04,0.51,0.21,	|
| 	(1) 	| numero = 67 	| endr = 0067FE80 	| err = 1 	| 67 -> 69 	| genes = 0.98,0.42,0.20,0.03,0.81,0.53,	|
| 	(1) 	| numero = 69 	| endr = 0067FE80 	| err = 1 	| 69 -> 71 	| genes = 0.39,0.84,0.75,0.56,0.79,0.57,	|
| 	(1) 	| numero = 71 	| endr = 0067FE80 	| err = 1 	| 71 -> 73 	| genes = 0.85,0.57,0.10,0.69,0.35,0.74,	|
| 	(1) 	| numero = 73 	| endr = 0067FE80 	| err = 1 	| 73 -> 74 	| genes = 0.48,0.21,0.67,0.36,0.81,0.86,	|
| 	(1) 	| numero = 74 	| endr = 0067FE80 	| err = 1 	| 74 -> 77 	| genes = 0.67,0.32,0.80,0.27,0.01,0.34,	|
| 	(1) 	| numero = 77 	| endr = 0067FE80 	| err = 1 	| 77 -> 79 	| genes = 0.40,0.72,0.13,0.34,0.05,0.70,	|
| 	(1) 	| numero = 79 	| endr = 0067FE80 	| err = 1 	| 79 -> 80 	| genes = 0.38,0.08,1.00,0.38,0.38,0.54,	|
| 	(1) 	| numero = 80 	| endr = 0067FE80 	| err = 1 	| 80 -> 81 	| genes = 0.17,0.64,0.11,0.94,0.61,0.00,	|
| 	(1) 	| numero = 81 	| endr = 0067FE80 	| err = 1 	| 81 -> 83 	| genes = 0.96,0.26,0.12,0.23,0.07,0.70,	|
| 	(1) 	| numero = 83 	| endr = 0067FE80 	| err = 1 	| 83 -> 85 	| genes = 0.40,0.24,0.79,0.10,0.65,0.38,	|
| 	(1) 	| numero = 85 	| endr = 0067FE80 	| err = 1 	| 85 -> 86 	| genes = 0.35,0.98,0.15,0.75,0.15,0.82,	|
| 	(1) 	| numero = 86 	| endr = 0067FE80 	| err = 1 	| 86 -> 87 	| genes = 0.91,0.15,0.45,0.24,0.06,0.92,	|
| 	(1) 	| numero = 87 	| endr = 0067FE80 	| err = 1 	| 87 -> 88 	| genes = 0.35,0.39,0.15,1.00,0.24,0.90,	|
| 	(1) 	| numero = 88 	| endr = 0067FE80 	| err = 1 	| 88 -> 90 	| genes = 0.98,0.47,0.21,0.83,0.23,0.44,	|
| 	(1) 	| numero = 90 	| endr = 0067FE80 	| err = 1 	| 90 -> 92 	| genes = 0.59,0.20,0.01,0.48,0.98,0.45,	|
| 	(1) 	| numero = 92 	| endr = 0067FE80 	| err = 1 	| 92 -> 93 	| genes = 0.11,0.32,0.17,0.63,0.87,0.13,	|
| 	(1) 	| numero = 93 	| endr = 0067FE80 	| err = 1 	| 93 -> 94 	| genes = 0.24,0.59,0.82,0.43,0.07,0.10,	|
| 	(1) 	| numero = 94 	| endr = 0067FE80 	| err = 1 	| 94 -> 95 	| genes = 0.06,0.97,0.42,0.06,0.86,0.63,	|
| 	(1) 	| numero = 95 	| endr = 0067FE80 	| err = 1 	| 95 -> 98 	| genes = 0.87,0.85,0.12,0.10,0.49,0.90,	|
| 	(1) 	| numero = 98 	| endr = 0067FE80 	| err = 1 	| 98 -> 99 	| genes = 0.08,0.44,0.52,0.83,0.84,0.29,	|
| 	(1) 	| numero = 99 	| endr = 0067FE80 	| err = 1 	| 99 -> 100 	| genes = 0.29,0.60,0.44,0.67,0.70,0.81,	|
| 	(1) 	| numero = 100 	| endr = 0067FE80 	| err = 1 	| 100 -> 102 	| genes = 0.89,0.97,0.60,0.18,0.57,0.66,	|
| 	(1) 	| numero = 102 	| endr = 0067FE80 	| err = 1 	| 102 -> 104 	| genes = 0.37,0.81,0.01,0.89,0.21,0.18,	|
| 	(1) 	| numero = 104 	| endr = 0067FE80 	| err = 1 	| 104 -> 105 	| genes = 0.19,0.93,0.54,0.21,0.98,0.70,	|
| 	(1) 	| numero = 105 	| endr = 0067FE80 	| err = 1 	| 105 -> 106 	| genes = 0.00,0.87,0.09,0.18,0.40,0.22,	|
| 	(1) 	| numero = 106 	| endr = 0067FE80 	| err = 1 	| 106 -> 108 	| genes = 0.03,0.61,0.94,0.02,0.23,0.96,	|
| 	(1) 	| numero = 108 	| endr = 0067FE80 	| err = 1 	| 108 -> 109 	| genes = 0.53,0.89,0.40,0.92,0.16,0.13,	|
| 	(1) 	| numero = 109 	| endr = 0067FE80 	| err = 1 	| 109 -> 112 	| genes = 0.07,0.84,0.41,0.42,0.05,0.00,	|
| 	(1) 	| numero = 112 	| endr = 0067FE80 	| err = 1 	| 112 -> 113 	| genes = 0.66,0.44,0.01,0.81,0.87,1.00,	|
| 	(1) 	| numero = 113 	| endr = 0067FE80 	| err = 1 	| 113 -> 114 	| genes = 0.99,0.65,0.51,0.20,0.73,0.58,	|
| 	(1) 	| numero = 114 	| endr = 0067FE80 	| err = 1 	| 114 -> 116 	| genes = 0.28,0.31,0.21,0.21,0.82,0.24,	|
| 	(1) 	| numero = 116 	| endr = 0067FE80 	| err = 1 	| 116 -> 117 	| genes = 0.83,0.92,0.35,0.42,0.11,0.68,	|
| 	(1) 	| numero = 117 	| endr = 0067FE80 	| err = 1 	| 117 -> 118 	| genes = 0.04,0.45,0.39,0.64,0.85,0.35,	|
| 	(1) 	| numero = 118 	| endr = 0067FE80 	| err = 1 	| 118 -> 119 	| genes = 0.85,0.36,0.26,0.89,0.33,0.34,	|
| 	(1) 	| numero = 119 	| endr = 0067FE80 	| err = 1 	| 119 -> 121 	| genes = 0.42,0.07,0.65,0.21,0.82,0.92,	|
